circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,MADHAPUR,"ARUNDHOYA,IMAGE GARDEN, HARIZA",DOMESTIC,1,41,38.0,15982.0,541.26
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,MADHAPUR,ARUNODAYA COLONY,DOMESTIC,1,589,585.0,118230.0,2256.6
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,MADHAPUR,COD TO MADHAPUR PS SIDE  GRC,DOMESTIC,1,33,23.0,10009.0,247.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,MADHAPUR,"CYBER TOWER AREA,PATRIKANAGAR",DOMESTIC,1,41,39.0,50108.0,756.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,MADHAPUR,"IMAGE GARDEN LANE,JAIHIND ENCL",DOMESTIC,1,652,597.0,140135.0,2882.12
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,MADHAPUR,"JAYABHERI ENCLAVE, OFFI BESIDE",DOMESTIC,1,399,380.0,112709.0,2175.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,MADHAPUR,KAVURI HILLS,DOMESTIC,1,97,96.0,56258.0,1511.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,MADHAPUR,"KAVURI HILLS(D-MART),AMAR COOP",DOMESTIC,1,808,761.0,191517.0,3855.26
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,SIVAJI NAGAR,DOMESTIC,1,178,178.0,21085.0,217.19
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,SRT821 TO 920 RK BKRY OPP LANE,DOMESTIC,1,505,505.0,73930.0,751.1
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,SUBASH NAGAR,DOMESTIC,1,1644,1631.0,195914.0,2125.47
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,SUBASH NAGAR (WEST),DOMESTIC,1,630,615.0,76784.0,1020.89
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,TULASI NAGAR,DOMESTIC,1,277,277.0,31752.0,309.68
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,UDAY NAGAR,DOMESTIC,1,491,487.0,67098.0,834.44
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,HV ROAD NO-4-5-6,DOMESTIC,1,202,201.0,124996.0,3958.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,IAS-IPS OFFICERS QUARTERS,DOMESTIC,1,92,91.0,11195.0,457.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,JOURNALIST .COLONY,DOMESTIC,1,500,475.0,118707.0,2069.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,KCR HOUSE  NANDI NAGAR,DOMESTIC,1,1256,1166.0,182939.0,2305.83
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,NAGARJUNA HILLS,DOMESTIC,1,24,18.0,5986.0,135.5
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,NAGARJUNA HILLS AND PANJAGUTTA,DOMESTIC,1,52,51.0,27756.0,1093.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,NAIDU BASTHI,DOMESTIC,1,748,725.0,97771.0,841.18
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,"NEW ZOHRANAGAR,RD 10,B.HILLS",DOMESTIC,1,1022,992.0,201987.0,3509.08
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,NOOR NAGAR ,DOMESTIC,1,822,784.0,114676.0,1159.45
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,PANJAGUTTA POLICE QRTS.,DOMESTIC,1,205,148.0,28566.0,385.02
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,RD.14 AMRUTHA ENCLEVE APARTMET,DOMESTIC,1,91,91.0,25037.0,294.76
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,RD.14 POSH AREA@APARTMENTS,DOMESTIC,1,894,852.0,264352.0,4990.56
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,RD.2 MAIN ROAD,DOMESTIC,1,868,820.0,202359.0,4466.7
